"measure","status","current_description","replacement_description","expression"
"meas.crm_currency","REVIEW","Measure calculating crm currency. Respects the current filter context.","Redundant measure - slated for depreciation.","MAX(opps[crm_currency])"
"meas.crm_name","REVIEW","Measure calculating crm name. Respects the current filter context.","Redundant measure - slated for depreciation.","MAX(ssr[crm_name])"
"meas.dynamic_metric_title","KEEP","Measure calculating dynamic metric title. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.",""
"meas.exp_rpts_all_closed_deals","KEEP","Measure calculating exp rpts all closed deals. Respects the current filter context.","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(Count(ssr_history[_sys_doc_id]), ssr_history[step_name] IN {""New Logo Selling"", ""Existing Customer Selling""} )"
"meas.exp_rpts_all_expected_win_rate","KEEP","Rate of exp rpts all expected win rate. Respects the current filter context.","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(AVERAGE(ssr_history[step_success_prob]), ssr_history[step_name] IN {""New Logo Selling"", ""Existing Customer Selling""} )"
"meas.exp_rpts_all_lead_gen","KEEP","Measure calculating exp rpts all lead gen. Respects the current filter context.","Calculates the number of successful Lead Generation records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(Count(ssr_history[_sys_doc_id]), ssr_history[step_name] IN {""Lead Gen""} && ssr_history[step_success] = True)     // count of lead gen"
"meas.exp_rpts_all_new_logo_won_amt","KEEP","Measure calculating exp rpts all new logo won amt. Respects the current filter context.","Calculates won amount for successful New Logo Selling records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(SUM(ssr_history[opp_won_amt]), ssr_history[step_name] IN {""New Logo Selling""} && ssr_history[step_success] = True)       // New Logo sum of won amt"
"meas.exp_rpts_all_new_logo_won_deals","KEEP","Measure calculating exp rpts all new logo won deals. Respects the current filter context.","Calculates the number of successful won deals in New Logo Selling within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(Count(ssr_history[_sys_doc_id]), ssr_history[step_name] IN {""New Logo Selling""} && ssr_history[step_success] = True)       // new logo won deals count"
"meas.exp_rpts_all_pipeline_amt","KEEP","Measure calculating exp rpts all pipeline amt. Respects the current filter context.","Calculates pipeline amount for successful Prospecting and Post-Sales Support records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(SUM(ssr_history[opp_pipeline_amt]), ssr_history[step_name] IN {""Prospecting"", ""Post-Sales Support""} && ssr_history[step_success] = True)     // get the pipeline amt for prospecting and post-sales support"
"meas.exp_rpts_all_won_amt","KEEP","Measure calculating exp rpts all won amt. Respects the current filter context.","Calculates won amount across successful New Logo Selling and Existing Customer Selling records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(SUM(ssr_history[opp_won_amt]), ssr_history[step_name] IN {""New Logo Selling"", ""Existing Customer Selling""} && ssr_history[step_success] = True)"
"meas.exp_rpts_all_won_deals","KEEP","Measure calculating exp rpts all won deals. Respects the current filter context.","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods.","CALCULATE(Count(ssr_history[_sys_doc_id]), ssr_history[step_name] IN {""New Logo Selling"", ""Existing Customer Selling""} && ssr_history[step_success] = True)"
"meas.exp_rpts_current_year_closed_deals","KEEP","Measure calculating exp rpts current year closed deals. Respects the current filter context.","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_closed_deals], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_expected_win_rate","KEEP","Rate of exp rpts current year expected win rate. Respects the current filter context.","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_expected_win_rate], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_lead_gen","KEEP","Measure calculating exp rpts current year lead gen. Respects the current filter context.","Calculates the number of successful Lead Generation records for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_lead_gen], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_new_logo_won_amt","KEEP","Measure calculating exp rpts current year new logo won amt. Respects the current filter context.","Calculates won amount for successful New Logo Selling records for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_new_logo_won_amt], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_new_logo_won_deals","KEEP","Measure calculating exp rpts current year new logo won deals. Respects the current filter context.","Calculates the number of successful won deals in New Logo Selling for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_new_logo_won_deals], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_pipeline_amt","KEEP","Measure calculating exp rpts current year pipeline amt. Respects the current filter context.","Calculates pipeline amount for successful Prospecting and Post-Sales Support records for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_pipeline_amt], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_won_amt","KEEP","Measure calculating exp rpts current year won amt. Respects the current filter context.","Calculates won amount across successful New Logo Selling and Existing Customer Selling records for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_won_amt], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_current_year_won_deals","KEEP","Measure calculating exp rpts current year won deals. Respects the current filter context.","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps for Current Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_won_deals], time_intelligence[filt_item] = ""CURRENT_YEAR"")"
"meas.exp_rpts_last_year_closed_deals","KEEP","Measure calculating exp rpts last year closed deals. Respects the current filter context.","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_closed_deals], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_expected_win_rate","KEEP","Rate of exp rpts last year expected win rate. Respects the current filter context.","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_expected_win_rate], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_lead_gen","KEEP","Measure calculating exp rpts last year lead gen. Respects the current filter context.","Calculates the number of successful Lead Generation records for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_lead_gen], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_new_logo_won_amt","KEEP","Measure calculating exp rpts last year new logo won amt. Respects the current filter context.","Calculates won amount for successful New Logo Selling records for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_new_logo_won_amt], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_new_logo_won_deals","KEEP","Measure calculating exp rpts last year new logo won deals. Respects the current filter context.","Calculates the number of successful won deals in New Logo Selling for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_new_logo_won_deals], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_pipeline_amt","KEEP","Measure calculating exp rpts last year pipeline amt. Respects the current filter context.","Calculates pipeline amount for successful Prospecting and Post-Sales Support records for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_pipeline_amt], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_won_amt","KEEP","Measure calculating exp rpts last year won amt. Respects the current filter context.","Calculates won amount across successful New Logo Selling and Existing Customer Selling records for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_won_amt], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_last_year_won_deals","KEEP","Measure calculating exp rpts last year won deals. Respects the current filter context.","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps for Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_won_deals], time_intelligence[filt_item] = ""LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_closed_deals","KEEP","Measure calculating exp rpts prior to last year closed deals. Respects the current filter context.","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_closed_deals], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_expected_win_rate","KEEP","Rate of exp rpts prior to last year expected win rate. Respects the current filter context.","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_expected_win_rate], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_lead_gen","KEEP","Measure calculating exp rpts prior to last year lead gen. Respects the current filter context.","Calculates the number of successful Lead Generation records for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_lead_gen], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_new_logo_won_amt","KEEP","Measure calculating exp rpts prior to last year new logo won amt. Respects the current filter context.","Calculates won amount for successful New Logo Selling records for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_new_logo_won_amt], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_new_logo_won_deals","KEEP","Measure calculating exp rpts prior to last year new logo won deals. Respects the current filter context.","Calculates the number of successful won deals in New Logo Selling for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_new_logo_won_deals], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_pipeline_amt","KEEP","Measure calculating exp rpts prior to last year pipeline amt. Respects the current filter context.","Calculates pipeline amount for successful Prospecting and Post-Sales Support records for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_pipeline_amt], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_won_amt","KEEP","Measure calculating exp rpts prior to last year won amt. Respects the current filter context.","Calculates won amount across successful New Logo Selling and Existing Customer Selling records for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_won_amt], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.exp_rpts_prior_to_last_year_won_deals","KEEP","Measure calculating exp rpts prior to last year won deals. Respects the current filter context.","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps for Prior to Last Year. Used to compare sales performance across reporting periods.","CALCULATE([meas.exp_rpts_all_won_deals], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")"
"meas.filter_cal_start_dates_with_end_date","KEEP","Measure calculating filter cal start dates with end date. Respects the current filter context.","Calculates filter cal start dates with end date in the current reporting context.",""
"meas.manager_direct_active_mgr_full_name","KEEP","Measure calculating manager direct active mgr full name. Respects the current filter context.","Calculates manager direct active mgr full name in the current reporting context.",""
"meas.open_leads_tbl_title","KEEP","Measure calculating open leads tbl title. Respects the current filter context.","Helper measure used for internal label, formatting, or visual support behavior.",""
"meas.opps_addr_location","KEEP","Measure calculating opps addr location. Respects the current filter context.","Calculates addr location in the current reporting context.",""
"meas.opps_asof_open_pipeline_amt","KEEP","Measure calculating opps asof open pipeline amt. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(opps, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,  opps[_sys_filt_end_date] >= end_date &&  opps[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var res = SUMX(filt_tbl, opps[trueai_booking_amt]) -- do the actual operation
			
			return res"
"meas.opps_asof_open_pipeline_count","KEEP","Count of opps asof open pipeline count. Respects the current filter context.","Returns the number of opportunities that are open as of the selected as-of date.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(opps, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,  opps[_sys_filt_end_date] >= end_date &&  opps[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var res = COuntX(filt_tbl, opps[_sys_doc_id]) -- do the actual operation
			
			return res"
"meas.opps_asof_open_pipeline_expected_value","KEEP","Measure calculating opps asof open pipeline expected value. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(opps, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,  opps[_sys_filt_end_date] >= end_date &&  opps[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var pipeline_amt = SUMX(filt_tbl, opps[trueai_booking_amt]) -- get the pipeline amt
			var pipeline_prob = AVERAGEX(filt_tbl, opps[trueai_prob_of_win]) -- get the pipeline amt
			var res = pipeline_amt*pipeline_prob
			return res"
"meas.opps_average_won_amt","KEEP","Average of opps average won amt. Respects the current filter context.","Calculates average won amount in the current reporting context.",""
"meas.opps_closed_date","KEEP","Measure calculating opps closed date. Respects the current filter context.","Calculates closed date in the current reporting context.",""
"meas.opps_deals_lost_count","KEEP","Count of opps deals lost count. Respects the current filter context.","Calculates the number of closed-lost opportunities in the current reporting context.","CALCULATE(COUNT(ssr_history[_sys_doc_id]), ssr_history[step_outcome]=""Closed Lost"")"
"meas.opps_deals_won_count","KEEP","Count of opps deals won count. Respects the current filter context.","Calculates the number of closed-won opportunities in the current reporting context.","CALCULATE(COUNT(ssr_history[_sys_doc_id]), ssr_history[step_outcome]=""Closed Won"")"
"meas.opps_per_acts_avg","KEEP","Average of opps per acts avg. Respects the current filter context.","Calculates per acts average in the current reporting context.",""
"meas.opps_per_acts_avg_ae","KEEP","Average of opps per acts avg ae. Respects the current filter context.","Returns the average number of opportunities per account for Account Executive.","CALCULATE ( [meas.opps_per_acts_avg], users[trueai_user_role_function] = ""AE"" )"
"meas.opps_per_acts_avg_am","KEEP","Average of opps per acts avg am. Respects the current filter context.","Returns the average number of opportunities per account for Account Manager.","CALCULATE ( [meas.opps_per_acts_avg], users[trueai_user_role_function] = ""AM"" )"
"meas.opps_per_acts_avg_mgmt","KEEP","Average of opps per acts avg mgmt. Respects the current filter context.","Returns the average number of opportunities per account for Management.","CALCULATE ( [meas.opps_per_acts_avg], users[trueai_user_role_function] = ""MGMT"" )"
"meas.opps_per_acts_avg_other","KEEP","Average of opps per acts avg other. Respects the current filter context.","Returns the average number of opportunities per account for Other Roles.","CALCULATE ( [meas.opps_per_acts_avg], users[trueai_user_role_function] = ""OTHER ROLES"" )"
"meas.opps_per_acts_avg_sdr","KEEP","Average of opps per acts avg sdr. Respects the current filter context.","Returns the average number of opportunities per account for Sales Development Representative.","CALCULATE ( [meas.opps_per_acts_avg], users[trueai_user_role_function] = ""SDR"" )"
"meas.opps_per_dur_hrs_avg","KEEP","Average of opps per dur hrs avg. Respects the current filter context.","Summarizes opportunities per duration hours average.","AVERAGEX (
			    VALUES ( opps[_sys_doc_id] ),
			    CALCULATE (
			        DIVIDE( SUM( ssr_history[step_owner_dur] ), 3600 ),
			        ssr_history[step_owner_id] <> BLANK()
			    )
			)"
"meas.opps_per_dur_hrs_avg_ae","KEEP","Average of opps per dur hrs avg ae. Respects the current filter context.","Returns the average number of opportunities per duration hour for Account Executive.","CALCULATE ( [meas.opps_per_dur_hrs_avg], users[trueai_user_role_function] = ""AE"" )"
"meas.opps_per_dur_hrs_avg_am","KEEP","Average of opps per dur hrs avg am. Respects the current filter context.","Returns the average number of opportunities per duration hour for Account Manager.","CALCULATE ( [meas.opps_per_dur_hrs_avg], users[trueai_user_role_function] = ""AM"" )"
"meas.opps_per_dur_hrs_avg_mgmt","KEEP","Average of opps per dur hrs avg mgmt. Respects the current filter context.","Returns the average number of opportunities per duration hour for Management.","CALCULATE ( [meas.opps_per_dur_hrs_avg], users[trueai_user_role_function] = ""MGMT"" )"
"meas.opps_per_dur_hrs_avg_other","KEEP","Average of opps per dur hrs avg other. Respects the current filter context.","Returns the average number of opportunities per duration hour for OTHER ROLE.","CALCULATE ( [meas.opps_per_dur_hrs_avg], users[trueai_user_role_function] = ""OTHER ROLE"" )"
"meas.opps_per_dur_hrs_avg_sdr","KEEP","Average of opps per dur hrs avg sdr. Respects the current filter context.","Returns the average number of opportunities per duration hour for Sales Development Representative.","CALCULATE ( [meas.opps_per_dur_hrs_avg], users[trueai_user_role_function] = ""SDR"" )"
"meas.opps_per_owner_avg","KEEP","Average of opps per owner avg. Respects the current filter context.","Returns the average number of opportunities per owner in the current reporting context.",""
"meas.opps_per_owner_avg_ae","KEEP","Average of opps per owner avg ae. Respects the current filter context.","Returns the average number of opportunities per owner for Account Executive.","CALCULATE ( [meas.opps_per_owner_avg], users[trueai_user_role_function] = ""AE"" )"
"meas.opps_per_owner_avg_am","KEEP","Average of opps per owner avg am. Respects the current filter context.","Returns the average number of opportunities per owner for Account Manager.","CALCULATE ( [meas.opps_per_owner_avg], users[trueai_user_role_function] = ""AM"" )"
"meas.opps_per_owner_avg_mgmt","KEEP","Average of opps per owner avg mgmt. Respects the current filter context.","Returns the average number of opportunities per owner for Management.","CALCULATE ( [meas.opps_per_owner_avg], users[trueai_user_role_function] = ""MGMT"" )"
"meas.opps_per_owner_avg_other","KEEP","Average of opps per owner avg other. Respects the current filter context.","Returns the average number of opportunities per owner for Other Roles.","CALCULATE ( [meas.opps_per_owner_avg], users[trueai_user_role_function] = ""OTHER ROLES"" )"
"meas.opps_trueai_book_amt","KEEP","Measure calculating opps trueai book amt. Respects the current filter context.","Summarizes opportunities trueai book amount.","CALCULATE(SUM(opps[trueai_booking_amt]))        // sum of opps booking amt"
"meas.opps_trueai_sales_type","REVIEW","Measure calculating opps trueai sales type. Respects the current filter context.","Redundant measure - slated for depreciation.","CALCULATE(MAX(opps[trueai_sale_type]))"
"meas.opps_trueai_stage","REVIEW","Measure calculating opps trueai stage. Respects the current filter context.","Redundant measure - slated for depreciation.","CALCULATE(MAX(opps[trueai_stage]))"
