"measure","current_purpose","expression_sample","replacement_description"
"meas.ai_scores_prospecting_factor2_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 2 for Prospecting Success Predictions."
"meas.ai_scores_ramping_perf_conf_factor2_value","","var _perf = CALCULATE(","Returns average quarterly performance confidence for users flagged as ramping."
"meas.ai_scores_success_factor_analysis_factor2_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns the latest model validation score used as factor 2 for success factor analysis."
"meas.ai_scores_vi_tuning_share_diff_factor2","","var diff2 = [meas.ssr_history_vi_tuning_shares_diff]        // diff 2","Returns tuning-share difference signal used as factor 2 for value intelligence scoring."
"meas.ai_scores_accts_industry_factor1_value","","var _avg = CALCULATE(","Returns accounts-industry consolidation signal used as factor 1."
"meas.ai_scores_accts_leadsource_factor1_value","","var _avg = CALCULATE(","Returns accounts lead-source consolidation signal used as factor 1."
"meas.ai_scores_adj_duration_factor1_value","","VAR _tbl = CALCULATETABLE(ssr_history, ssr_history[step_name] in {""Prospecting"", ""New Logo Selling"", ""Post-Sales Support"",""Existing Customer Selling""}) // Get the current table context but exclude the unthcouded stage etc","Returns adjusted duration quality signal derived from step-level duration context."
"meas.ai_scores_ci_act_capt_lvl_conf_factor1_value","","var _avg = CALCULATE(","Returns confidence signal for activity capture level used as factor 1."
"meas.ai_scores_ci_closing_ability_factor1_value","","var res = CALCULATE(","Returns closing ability signal based on won-rate context used as factor 1."
"meas.ai_scores_ci_deal_maxing_factor1_value","","var _avg = CALCULATE(","Returns deal maximizing signal based on account and opportunity monetization behavior used as factor 1."
"meas.ai_scores_ci_discovery_skill_factor1_value","","var res = CALCULATE(","Returns discovery skill signal based on stage progression behavior used as factor 1."
"meas.ai_scores_ci_engagement_ability_factor1_value","","var _avg = CALCULATE(","Returns engagement ability signal based on stakeholder engagement behavior used as factor 1."
"meas.ai_scores_ci_time_allocation_factor1_value","","var res = CALCULATE(","Returns average internal time-allocation value used as factor 1 for time allocation score."
"meas.ai_scores_ci_time_management_factor1_value","","var _avg = CALCULATE(","Returns average duration quality signal used as factor 1 for time management score."
"meas.ai_scores_ci_work_effort_factor1_value","","var res = CALCULATE(","Returns work effort signal based on activity workload behavior used as factor 1."
"meas.ai_scores_existing_customer_selling_factor1_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 1 for Existing Customer Selling Success Predictions."
"meas.ai_scores_general_score_factor1_value","","var res = CALCULATE(MAX(ssr_history_stakeholders[_sys_doc_id])) // gwet current data","Returns maximum completeness indicator from stakeholder history used as factor 1 for general score."
"meas.ai_scores_leads_industry_factor1_value","","var _avg = CALCULATE(","Returns leads-industry consolidation signal used as factor 1."
"meas.ai_scores_leads_leadsource_factor1_value","","var _avg = CALCULATE(","Returns leads lead-source consolidation signal used as factor 1."
"meas.ai_scores_line_items_products_factor1_value","","var won_deals = CALCULATE(","Returns won-opportunity ratio with line items by comparing won opportunities to won opportunities with products."
"meas.ai_scores_list_price_items_factor1_value","","var total_list_items = CALCULATE(count(opp_line_items[trueai_list_price]))      // get all the list_price count","Returns count of line items with list price, used as factor 1 for list-price scoring."
"meas.ai_scores_new_logo_selling_factor1_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 1 for New Logo Selling Success Predictions."
"meas.ai_scores_opps_history_factor1_value","","var tbl_won_open_pipeline =","Returns average number of distinct stage transitions per won opportunity in open pipeline history."
"meas.ai_scores_opps_industry_factor1_value","","var _avg = CALCULATE(","Returns opportunities-industry consolidation signal used as factor 1."
"meas.ai_scores_opps_leadsource_factor1_value","","var _avg = CALCULATE(","Returns opportunities lead-source consolidation signal used as factor 1."
"meas.ai_scores_performance_tiers_factor1_value","","var perf_avg = CALCULATE(AVERAGE(users_history[ci_perf_qtly_performance_tier_conf]), users[trueai_user_role_function] in {""AM"", ""AE"", ""SDR""} )        // get the avg performance tier conf","Returns average quarterly performance tier confidence used as factor 1."
"meas.ai_scores_post_sales_support_factor1_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 1 for Post-Sales Support Success Predictions."
"meas.ai_scores_potential_acv_factor1_value","","// as we don't have some field to calculate the factor I am using here temporary variable for visualization purpose. need to apply the actual field while available","Returns the placeholder factor value for potential annual contract value scoring."
"meas.ai_scores_prospecting_factor1_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns latest model quality metric used as factor 1 for Prospecting Success Predictions."
"meas.ai_scores_ramping_count_rate_factor1_value","","var fromDate =[meas.context_date_min]","Returns normalized ramping-user count rate (capped at 1) for active users in the selected period."
"meas.ai_scores_rep_org_calibration_factor1_value","","VAR latest_table =","Returns HR match coverage ratio for sales users, used as factor 1 in sales organization calibration."
"meas.ai_scores_revenue_calibration_factor1_value","","var latest_table = CALCULATETABLE(TOPN(1,companies_history,companies_history[_sys_processed_as_of],DESC))","Returns trailing-twelve-month reference revenue used as factor 1 for revenue calibration."
"meas.ai_scores_ssr_industry_factor1_value","","var _avg = CALCULATE(","Returns sales stage routing industry consolidation signal used as factor 1."
"meas.ai_scores_ssr_leadsource_factor1_value","","var _avg = CALCULATE(","Returns sales stage routing lead-source consolidation signal used as factor 1."
"meas.ai_scores_success_factor_analysis_factor1_value","","var latest_row  = CALCULATETABLE(TOPN(1,companies_history, companies_history[_sys_processed_as_of], DESC))  // get the latest row","Returns the latest model training score used as factor 1 for success factor analysis."
"meas.ai_scores_vi_step_diff_factor1_value","","var diff1 = [meas.ssr_history_step_diff]        // diff 1","Returns stage-difference signal used as factor 1 for value intelligence scoring."
"meas.ai_score","","VAR score_id =","Returns the final AI score for the selected score card by applying score-specific logic, boost exponent, weight, and boundary limits."
"meas.ai_score_formula","","var meas_name = [meas.ai_score_measure_name]","Returns the DAX expression text of the measure currently mapped to the selected AI score for transparency and diagnostics."
"meas.ai_score_measure_name","","var score_name = MAX(metadata_ai_scores[score_name])","Returns the measure name mapped to the selected AI score in metadata."
"meas.ai_scores_factor1_name","","var factor_name = MAX(metadata_ai_scores[factor_1_name])","Returns the configured label for factor 1 of the selected AI score."
"meas.ai_scores_factor1_value","","var score_name = MAX(metadata_ai_scores[score_name])","Returns factor 1 value for the selected AI score by routing to the score-specific factor 1 measure."
"meas.ai_scores_factor2_name","","var factor_name = MAX(metadata_ai_scores[factor_2_name])","Returns the configured label for factor 2 of the selected AI score."
"meas.ai_scores_factor2_value","","var score_name = MAX(metadata_ai_scores[score_name])","Returns factor 2 value for the selected AI score by routing to the score-specific factor 2 measure."
"meas.ai_scores_factor3_name","","var factor_name = MAX(metadata_ai_scores[factor_3_name])","Returns the configured label for factor 3 of the selected AI score."
"meas.ai_scores_factor3_value","","var score_name = MAX(metadata_ai_scores[score_name])","Returns factor 3 value for the selected AI score when a third factor is defined."
"meas.ai_scores_text","","var score = [meas.ai_score]","Returns the narrative quality label for the current AI score (Limited, Fair, Good, Great, or Excellent)."
"meas.average_ai_score","","var avg_score =","Calculates the average AI score across visible score cards and constrains the result to a 0-100 scale."
"meas.ai_scores_revenue_calibration_factor2_value","","var latest_table = CALCULATETABLE(TOPN(1,companies_history,companies_history[_sys_processed_as_of],DESC))","Returns trailing-twelve-month won amount used as factor 2 for revenue calibration."
"meas.ai_scores_booking_calibration_factor1_value","","var latest_table = CALCULATETABLE(TOPN(1,companies_history,companies_history[_sys_processed_as_of],DESC))","Returns trailing-twelve-month booking amount used as factor 1 for booking calibration."
"meas.ai_scores_rep_org_calibration_factor2_value","","VAR latest_table =","Returns sales organization match quality score based on non-matching users involved in won deals and pipeline."
"meas.ai_scores_rep_org_calibration_factor3_value","","var latest_table = CALCULATETABLE(TOPN(1,companies_history,companies_history[_sys_processed_as_of],DESC))","Returns role and group completeness score for matched sales users, used as factor 3 in sales organization calibration."
"meas.ai_scores_booking_calibration_factor2_value","","var latest_table = CALCULATETABLE(TOPN(1,companies_history,companies_history[_sys_processed_as_of],DESC))","Returns trailing-twelve-month won amount used as factor 2 for booking calibration."
"meas.ai_scores_rep_org_calibration_test","","var latest_table = CALCULATETABLE(TOPN(1,companies_history,companies_history[_sys_processed_as_of],DESC))       // grt the most latest row","Returns the legacy test variant of sales organization calibration score from factor values."
"meas.ai_scores_sales_process","","var _count = CALCULATE(count(ssr_history[_sys_doc_id]) )","Calculates sales process quality by comparing standard-rule compliance against all applied rules and adjusting with a non-standard confidence baseline."
"meas.ai_scores_ci_act_capt_lvl","","var res = [meas.ai_scores_ci_act_capt_lvl_factor1_value]","Returns customer intelligence activity capture level score from its configured factor value."
"meas.ai_scores_sales_process_any_rules_count_factor1_value","","var total_rules_applied = CALCULATE(count(ssr_history[_sys_doc_id]) )","Returns total number of rule evaluations applied to sales stage records, used as factor 1 for sales process quality."
"meas.ai_scores_sales_process_any_rules_std_count_factor2_value","","var tbl_crm_rules = calculateTable(SELECTCOLUMNS(filter(metadata_rule_list, metadata_rule_list[col.rule_is_std_crm] = true), ""_sys_doc_id]"", """" & [_sys_doc_id])) // get a list of just the CRM rules","Returns number of records that satisfy standard customer-relationship-management rule mapping, used as factor 2 for sales process quality."
"meas.ai_scores_ci_act_capt_lvl_factor1_value","","var res = CALCULATE(","Returns average stakeholder activity coverage signal used as factor 1 for activity capture level."
"meas.ai_scores_opps_history_factor2_value","","var tbl_won_open_pipeline =FILTER(","Returns a robust stage-count benchmark from the top-performing won opportunities, with a minimum threshold of 3."
"meas.ai_score_text_value","","VAR _score = [meas.average_ai_score]","Returns the narrative quality label for the average AI score (Limited, Fair, Good, Great, or Excellent)."
