"measure","current_description","proposed_description"
"meas.data_logs_user_new_terminations_within_12_months_failure_rate","Calculates data logs user new terminations within 12 months failure rate.","Calculates data logs user new terminations within 12 months failure rate."
"meas.data_logs_user_new_hires_reached_performer_within_12_months_avg_tenure","Calculates data logs user new hires reached performer within 12 months average tenure. Uses the selected date range context. Calculates peer context values using the selected role.","Calculates data logs user new hires reached performer within 12 months average tenure. Uses the selected date range context. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_pipeline_created","Calculates annual average pipeline-created performance for the selected user scope. Calculates peer context values using the selected role.","Calculates annual average pipeline-created performance for the selected user scope. Calculates peer context values using the selected role."
"meas.users_history_ramping_reps_count_eop","Counts ramping representatives at end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context. Filters to users marked with ramping status.","Counts ramping representatives at end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context. Filters to users marked with ramping status."
"meas.user_history_period_count","Counts distinct reporting periods in the current filter context.","Counts distinct reporting periods in the current filter context."
"meas.users_history_vi_value_received_all_prior_time","Calculates cumulative value received for all prior time up to the selected reporting boundary.","Calculates cumulative value received for all prior time up to the selected reporting boundary."
"meas.user_history_user_new_hires_reached_perf_in_12_month","Counts new hires who reached performer status within twelve months. Uses the selected date range context.","Counts new hires who reached performer status within twelve months. Uses the selected date range context."
"meas.user_history_user_new_hires_didnt_reach_perf_in_12_month","Counts new hires who did not reach performer status within twelve months. Uses the selected date range context.","Counts new hires who did not reach performer status within twelve months. Uses the selected date range context."
"meas.user_history_user_new_hires_terminated_in_12_month","Counts new hires terminated within twelve months. Uses the selected date range context. Calculates peer context values using the selected role.","Counts new hires terminated within twelve months. Uses the selected date range context. Calculates peer context values using the selected role."
"meas.users_history_ci_perf_avg_attainment","Calculates average performance attainment across users in the selected context. Calculates peer context values using the selected role.","Calculates average performance attainment across users in the selected context. Calculates peer context values using the selected role."
"meas.data_logs_user_count_eop_for_ae","Counts end-of-period users for Account Executive.","Counts end-of-period users for Account Executive."
"meas.data_logs_user_count_eop_for_am","Counts end-of-period users for Account Manager.","Counts end-of-period users for Account Manager."
"meas.data_logs_user_count_eop_for_sdr","Counts end-of-period users for Sales Development Representative.","Counts end-of-period users for Sales Development Representative."
"meas.data_logs_user_count_eop_for_all_sales_roles","Counts end-of-period users for all sales roles.","Counts end-of-period users for all sales roles."
"meas.data_logs_user_count_eop_for_mgr","Counts end-of-period users for Management.","Counts end-of-period users for Management."
"meas.data_logs_user_count_eop_for_other","Counts end-of-period users for Other roles.","Counts end-of-period users for Other roles."
"meas.data_logs_user_count_eop_for_dept_mkt","Counts end-of-period users for department Marketing.","Counts end-of-period users for department Marketing."
"meas.data_logs_user_count_eop_for_dept_sales","Counts end-of-period users for department Sales.","Counts end-of-period users for department Sales."
"meas.data_logs_user_count_eop_for_dept_other","Counts end-of-period users for department Other departments.","Counts end-of-period users for department Other departments."
"meas.data_logs_user_count_change_perc","Calculates data logs user count change perc.","Calculates data logs user count change perc."
"meas.data_logs_user_count_eop_for_nd","Counts end-of-period users for Not Defined role.","Counts end-of-period users for Not Defined role."
"meas.reps_w_actlvl_pct","Calculates percentage of representatives with activity capture level data.","Calculates percentage of representatives with activity capture level data."
"meas.reps_w_actlvl_count","Counts representatives with activity capture level data.","Counts representatives with activity capture level data."
"meas.reps_w_time_allocation_pct","Calculates percentage of representatives with time allocation data.","Calculates percentage of representatives with time allocation data."
"meas.reps_w_time_allocation_count","Counts representatives with time allocation data. Uses the selected date range context. Uses the latest snapshot date within the current filter context.","Counts representatives with time allocation data. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.users_history_row_filler","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.sys.user_id_for_am","Returns user identifier filtered to role Account Manager.","Returns user identifier filtered to role Account Manager."
"meas.di.trueai_opps_won_amt_am_avg","Calculates average won opportunity amount per user for role Account Manager.","Calculates average won opportunity amount per user for role Account Manager."
"meas.sys.user_id_for_ae","Returns user identifier filtered to role Account Executive.","Returns user identifier filtered to role Account Executive."
"meas.sys.user_id_for_sdr","Returns user identifier filtered to role Sales Development Representative.","Returns user identifier filtered to role Sales Development Representative."
"meas.sys.user_id_for_nd","Returns user identifier filtered to role Not Defined role.","Returns user identifier filtered to role Not Defined role."
"meas.sys.user_id_for_other","Returns user identifier filtered to role Other roles.","Returns user identifier filtered to role Other roles."
"meas.di.trueai_opps_won_amt_ae_avg","Calculates average won opportunity amount per user for role Account Executive.","Calculates average won opportunity amount per user for role Account Executive."
"meas.di.trueai_opps_won_amt_sdr_avg","Calculates average won opportunity amount per user for role Sales Development Representative.","Calculates average won opportunity amount per user for role Sales Development Representative."
"meas.di.trueai_opps_won_amt_nd_avg","Calculates average won opportunity amount per user for role Not Defined role.","Calculates average won opportunity amount per user for role Not Defined role."
"meas.di.trueai_opps_won_amt_mgr_avg","Calculates average won opportunity amount per user for role Management.","Calculates average won opportunity amount per user for role Management."
"meas.sys.user_id_for_mgr","Returns user identifier filtered to role Management.","Returns user identifier filtered to role Management."
"meas.di.trueai_opps_won_amt_other_avg","Calculates average won opportunity amount per user for role Other roles.","Calculates average won opportunity amount per user for role Other roles."
"meas.count_trueai_user_role_account_executive","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_account_manager","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_manager","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_nd","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_development_rep","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.user_history_count_dept_sales","Counts users in the Sales department in the selected reporting period.","Counts users in the Sales department in the selected reporting period."
"meas.count_trueai_user_role_account_executive_in_group_nd","Counts users for the specified role in the selected reporting period.","Counts users for the specified role in the selected reporting period."
"meas.count_trueai_user_role_all_salesteam","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_other","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_executive","Counts users for the specified role in the selected reporting period. Uses the selected date range context.","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.data_logs_user_count_eop_for_dept_support","Counts end-of-period users for department Support.","Counts end-of-period users for department Support."
"meas.data_logs_user_count_eop_for_dept_ops","Counts end-of-period users for department Operations.","Counts end-of-period users for department Operations."
"meas.data_logs_user_count_eop_for_dept_nd","Counts end-of-period users for department Not Defined department.","Counts end-of-period users for department Not Defined department."
"meas.data_logs_won_amt_user_eop_avg","Calculates average won opportunity amount per end-of-period user.","Calculates average won opportunity amount per end-of-period user."
"meas.data_logs_pipeline_amt_user_eop_avg","Calculates average pipeline amount per end-of-period user.","Calculates average pipeline amount per end-of-period user."
"meas.data_logs_won_amt_user_eop_avg_for_new_logo_selling","Calculates average won opportunity amount per end-of-period user.","Calculates average won opportunity amount per end-of-period user."
"meas.data_logs_won_amt_user_eop_avg_for_existing_acv","Calculates average won opportunity amount per end-of-period user.","Calculates average won opportunity amount per end-of-period user."
"meas.data_logs_won_amt_user_eop_avg_for_new_acv","Calculates average won opportunity amount per end-of-period user.","Calculates average won opportunity amount per end-of-period user."
"meas.user_history_user_new_hires_terminated_in_12_month_pos","Counts new hires terminated within twelve months. Uses the selected date range context.","Counts new hires terminated within twelve months. Uses the selected date range context."
"meas.data_logs_won_amt_user_eop_avg_for_existing_customer_selling","Calculates average won opportunity amount per end-of-period user.","Calculates average won opportunity amount per end-of-period user."
"meas.users_history_row_filler2","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler3","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler4","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler5","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler6","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler7","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler8","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler9","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler10","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler11","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler12","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler13","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler14","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler15","Helper measure that returns blank text to preserve visual layout spacing.","Helper measure that returns blank text to preserve visual layout spacing."
"meas.data_logs_user_turnover_pct","Calculates overall turnover percentage for the selected period.","Calculates overall turnover percentage for the selected period."
"meas.time_allocation_total_not_eng","Calculates average non-engagement time allocation share.","Calculates average non-engagement time allocation share."
"meas.users_history_ta_potential_vs_actual","Calculates comparison between potential and actual time allocation in the selected context.","Calculates comparison between potential and actual time allocation in the selected context."
"meas.data_logs_user_turnover_pct_regrettable","Calculates regrettable turnover percentage for the selected period.","Calculates regrettable turnover percentage for the selected period."
"meas.data_logs_user_new_terminations_regrettable","Counts regrettable terminations during the selected period.","Counts regrettable terminations during the selected period."
"meas.users_history_user_role_function_concat_w_count_eop","Returns role label text concatenated with end-of-period user count. Uses the selected date range context. Uses the latest snapshot date within the current filter context.","Returns role label text concatenated with end-of-period user count. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.exp_rpts_all_avg_perf_tier","Calculates average performance tier across the selected reporting context.","Calculates average performance tier across the selected reporting context."
"meas.exp_rpts_last_year_avg_perf_tier","Calculates average performance tier for Last Year using time-intelligence filter. Applies the Last Year time-intelligence filter.","Calculates average performance tier for Last Year using time-intelligence filter. Applies the Last Year time-intelligence filter."
"meas.exp_rpts_prior_to_last_year_avg_perf_tier","Calculates average performance tier for Prior to Last Year using time-intelligence filter. Applies the Prior-to-Last-Year time-intelligence filter.","Calculates average performance tier for Prior to Last Year using time-intelligence filter. Applies the Prior-to-Last-Year time-intelligence filter."
"meas.exp_rpts_current_year_avg_perf_tier","Calculates average performance tier for Current Year using time-intelligence filter. Applies the Current Year time-intelligence filter.","Calculates average performance tier for Current Year using time-intelligence filter. Applies the Current Year time-intelligence filter."
"meas.data_logs_user_count_all","Calculates data logs user count all.","Calculates data logs user count all."
"meas.calibration_user_role_title","Returns dynamic title text for the user-role calibration view, including selected prior-year context. Calculates peer context values using the selected role.","Returns dynamic title text for the user-role calibration view, including selected prior-year context. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings_account_executive","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role.","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings_account_manager","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role.","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_pipeline_created_sdr","Calculates annual average pipeline-created performance for the selected user scope. Calculates peer context values using the selected role.","Calculates annual average pipeline-created performance for the selected user scope. Calculates peer context values using the selected role."
"meas.perf_consider_mrasure","Returns explanatory guidance text that defines performer criteria used in this report.","Returns explanatory guidance text that defines performer criteria used in this report."
"meas.calibration_department_title","Returns dynamic title text for the department calibration view, including selected prior-year context.","Returns dynamic title text for the department calibration view, including selected prior-year context."
"meas.calibration_group_title","Returns dynamic title text for the group calibration view, including selected prior-year context.","Returns dynamic title text for the group calibration view, including selected prior-year context."
"meas.data_logs_ci_perf_status","Returns annual performance status classification for users based on configured thresholds.","Returns annual performance status classification for users based on configured thresholds."
"meas.data_logs_user_12_Mos_ci_perf_status","Returns 12-month performance status classification for users based on configured thresholds.","Returns 12-month performance status classification for users based on configured thresholds."
"meas.data_logs_user_count_rep_eop","Calculates data logs user count rep end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context.","Calculates data logs user count rep end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.ramping_reps_details_title","Returns dynamic title text for ramping representatives details, including selected owner context.","Returns dynamic title text for ramping representatives details, including selected owner context."
"meas.reps_w_time_allocation_prospecting_count","Counts representatives with time allocation assigned to Prospecting.","Counts representatives with time allocation assigned to Prospecting."
"meas.reps_w_time_allocation_prospecting_pct","Calculates percentage of representatives with time allocation assigned to Prospecting.","Calculates percentage of representatives with time allocation assigned to Prospecting."
"meas.reps_w_time_allocation_new_logo_count","Counts representatives with time allocation assigned to new_logo.","Counts representatives with time allocation assigned to new_logo."
"meas.reps_w_time_allocation_new_logo_pct","Calculates percentage of representatives with time allocation assigned to new_logo.","Calculates percentage of representatives with time allocation assigned to new_logo."
"meas.reps_w_time_allocation_prospect_pct","Calculates percentage of representatives with time allocation assigned to prospect.","Calculates percentage of representatives with time allocation assigned to prospect."
"meas.reps_all_time_allocation_count","Counts representatives included in time allocation analysis.","Counts representatives included in time allocation analysis."
"meas.data_logs_user_rep_mgr_ratio_updated","Calculates representative-to-manager ratio in the selected reporting context.","Calculates representative-to-manager ratio in the selected reporting context."
"meas.data_logs_users_tenure","Calculates user tenure in the selected reporting context.","Calculates user tenure in the selected reporting context."
"meas.data_logs_users_ramping_status","Returns ramping-status classification for users in the selected reporting context.","Returns ramping-status classification for users in the selected reporting context."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling","Calculates average time allocation for Existing Customer Selling.","Calculates average time allocation for Existing Customer Selling."
"meas.users_history_time_allocation_confidence","Returns numeric average confidence score for time allocation quality.","Returns numeric average confidence score for time allocation quality."
"meas.users_history_time_allocation_confidence_status","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations.","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations."
"meas.time_allocation_confidence","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations.","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations."
"meas.peek_inside_text_supports_aab","Returns static label text for the AAB support tile.","Returns static label text for the AAB support tile."
"meas.peek_inside_text_supports_aapc","Returns static label text for the AAPC support tile.","Returns static label text for the AAPC support tile."
"meas.peek_inside_text_supports_ramping_time","Returns static label text for the ramping-time support tile.","Returns static label text for the ramping-time support tile."
"meas.peek_inside_text_supports_trueai_reference_date","Returns static label text for the TrueAI reference-date support tile.","Returns static label text for the TrueAI reference-date support tile."
"meas.users_history_r2_bg_color","Returns conditional background color code used in model quality visuals.","Returns conditional background color code used in model quality visuals."
"meas.users_history_auc_bg_color","Returns conditional background color code used in model quality visuals.","Returns conditional background color code used in model quality visuals."
"meas.users_history_avg_act_capt_lvl","Calculates average activity capture level for users in the selected period. Uses the selected date range context.","Calculates average activity capture level for users in the selected period. Uses the selected date range context."
"meas.users_history_ci_time_alloca_avg_prospecting","Calculates average time allocation for Prospecting.","Calculates average time allocation for Prospecting."
"meas.users_history_ci_time_alloca_avg_new_logo_selling","Calculates average time allocation for New Logo Selling.","Calculates average time allocation for New Logo Selling."
"meas.users_history_ci_time_alloca_avg_post_sales_support","Calculates average time allocation for Post-Sales Support.","Calculates average time allocation for Post-Sales Support."
"meas.users_history_ci_time_alloca_avg_internel","Calculates average time allocation for Internal.","Calculates average time allocation for Internal."
"meas.reps_without_act_lvl_count","Counts representatives without activity capture level data.","Counts representatives without activity capture level data."
"meas.reps_without_act_lvl_pct","Calculates percentage of representatives without activity capture level data.","Calculates percentage of representatives without activity capture level data."
"meas.reps_has_ci_act_capt_lvl","Returns flag indicating whether representative has customer-intelligence activity capture level data.","Returns flag indicating whether representative has customer-intelligence activity capture level data."
"meas.ci_act_capt_lvl_pi_owner_act","Calculates owner-level customer-intelligence activity capture indicator from activity totals.","Calculates owner-level customer-intelligence activity capture indicator from activity totals."
"meas.underperformer_annual_avg","Calculates annual average metric for users classified as underperformers.","Calculates annual average metric for users classified as underperformers."
"meas.performer_annual_avg","Calculates annual average metric for users classified as performers.","Calculates annual average metric for users classified as performers."
"meas.overperformer_annual_avg","Calculates annual average metric for users classified as overperformers.","Calculates annual average metric for users classified as overperformers."
"meas.min_user_role_alias","Returns the minimum role alias value in the current filter context, used for role label resolution.","Returns the minimum role alias value in the current filter context, used for role label resolution."
"meas.ci_sb_closing_ability_num","Returns numeric customer-intelligence score for closing ability.","Returns numeric customer-intelligence score for closing ability."
"meas.ci_sb_work_effort_num","Returns numeric customer-intelligence score for work effort.","Returns numeric customer-intelligence score for work effort."
"meas.ci_sb_discov_skills_num","Returns numeric customer-intelligence score for discovery skills.","Returns numeric customer-intelligence score for discovery skills."
"meas.ci_sb_engmt_ability_num","Returns numeric customer-intelligence score for engagement ability.","Returns numeric customer-intelligence score for engagement ability."
"meas.ci_sb_deal_maxing_num","Returns numeric customer-intelligence score for deal maximizing.","Returns numeric customer-intelligence score for deal maximizing."
"meas.ci_sb_time_management_num","Returns numeric customer-intelligence score for time management. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for time management. Calculates peer context values using the selected role."
"meas.ci_sb_closing_ability_num_peer","Returns numeric customer-intelligence score for closing ability in peer context. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for closing ability in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_work_effort_num_peer","Returns numeric customer-intelligence score for work effort in peer context. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for work effort in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_discov_skills_num_peer","Returns numeric customer-intelligence score for discovery skills in peer context. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for discovery skills in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_engmt_ability_num_peer","Returns numeric customer-intelligence score for engagement ability in peer context. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for engagement ability in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_deal_maxing_num_peer","Returns numeric customer-intelligence score for deal maximizing in peer context. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for deal maximizing in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_time_management_num_peer","Returns numeric customer-intelligence score for time management in peer context. Calculates peer context values using the selected role.","Returns numeric customer-intelligence score for time management in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_closing_ability_num_L12M","Returns rolling 12-month numeric customer-intelligence score for closing ability. Anchors calculation to the latest selected reporting date.","Returns rolling 12-month numeric customer-intelligence score for closing ability. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_work_effort_num_L12M","Returns rolling 12-month numeric customer-intelligence score for work effort. Anchors calculation to the latest selected reporting date.","Returns rolling 12-month numeric customer-intelligence score for work effort. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_discov_skills_num_L12M","Returns rolling 12-month numeric customer-intelligence score for discovery skills. Anchors calculation to the latest selected reporting date.","Returns rolling 12-month numeric customer-intelligence score for discovery skills. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_engmt_ability_num_L12M","Returns rolling 12-month numeric customer-intelligence score for engagement ability. Anchors calculation to the latest selected reporting date.","Returns rolling 12-month numeric customer-intelligence score for engagement ability. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_deal_maxing_num_L12M","Returns rolling 12-month numeric customer-intelligence score for deal maximizing. Anchors calculation to the latest selected reporting date.","Returns rolling 12-month numeric customer-intelligence score for deal maximizing. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_time_management_num_L12M","Returns rolling 12-month numeric customer-intelligence score for time management. Anchors calculation to the latest selected reporting date.","Returns rolling 12-month numeric customer-intelligence score for time management. Anchors calculation to the latest selected reporting date."
"meas.selected_period_performance_tier","Returns the performance tier label for the selected reporting period.","Returns the performance tier label for the selected reporting period."
"meas.quarterly_tier","Returns the quarterly performance tier classification for the selected period.","Returns the quarterly performance tier classification for the selected period."
"meas.show_last_4_quarters","Flags dates that fall within the last four completed quarters for visual filtering. Anchors calculation to the latest selected reporting date.","Flags dates that fall within the last four completed quarters for visual filtering. Anchors calculation to the latest selected reporting date."
"meas.show_last_4Q","Flags dates that fall within the last four completed quarters for visual filtering. Anchors calculation to the latest selected reporting date.","Flags dates that fall within the last four completed quarters for visual filtering. Anchors calculation to the latest selected reporting date."
"meas.tier_last4Q","Returns the performance tier label for the last four completed quarters.","Returns the performance tier label for the last four completed quarters."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling_3mo","Calculates average time allocation for Existing Customer Selling for the last three months.","Calculates average time allocation for Existing Customer Selling for the last three months."
"meas.users_history_ci_time_alloca_avg_internel_3mo","Calculates average time allocation for Internal for the last three months.","Calculates average time allocation for Internal for the last three months."
"meas.users_history_ci_time_alloca_avg_new_logo_selling_3mo","Calculates average time allocation for New Logo Selling for the last three months.","Calculates average time allocation for New Logo Selling for the last three months."
"meas.users_history_ci_time_alloca_avg_post_sales_support_3mo","Calculates average time allocation for Post-Sales Support for the last three months.","Calculates average time allocation for Post-Sales Support for the last three months."
"meas.users_history_ci_time_alloca_avg_prospecting_3mo","Calculates average time allocation for Prospecting for the last three months. Calculates peer context values using the selected role.","Calculates average time allocation for Prospecting for the last three months. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling_3mo_peer","Calculates average time allocation for Existing Customer Selling for the last three months in peer context. Calculates peer context values using the selected role.","Calculates average time allocation for Existing Customer Selling for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_internel_3mo_peer","Calculates average time allocation for Internal for the last three months in peer context. Calculates peer context values using the selected role.","Calculates average time allocation for Internal for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_new_logo_selling_3mo_peer","Calculates average time allocation for New Logo Selling for the last three months in peer context. Calculates peer context values using the selected role.","Calculates average time allocation for New Logo Selling for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_post_sales_support_3mo_peer","Calculates average time allocation for Post-Sales Support for the last three months in peer context. Calculates peer context values using the selected role.","Calculates average time allocation for Post-Sales Support for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_prospecting_3mo_peer","Calculates average time allocation for Prospecting for the last three months in peer context. Calculates peer context values using the selected role.","Calculates average time allocation for Prospecting for the last three months in peer context. Calculates peer context values using the selected role."
"meas.ai_scores_ci_sb_mean","Calculates mean customer-intelligence score by averaging six customer-intelligence score components.","Calculates mean customer-intelligence score by averaging six customer-intelligence score components."
"meas.selected_period_performance_tier_num","Returns the numeric performance tier index for the selected reporting period.","Returns the numeric performance tier index for the selected reporting period."
"meas.rooster_matched_user_count","Counts end-of-period users matched to roster mapping rules. Calculates peer context values using the selected role.","Counts end-of-period users matched to roster mapping rules. Calculates peer context values using the selected role."
